,blade_L,blade_h,hinge_L,hinge_h
0,1893.4639341491695,1378.768537871886,716.6860307709063,1002.8436011608899
1,1890.9046596068704,1375.9284408029955,715.1557724005006,1002.1152421023208
2,1886.2440618455205,1372.4369249794431,712.6009186423828,1003.4108591415343
3,1884.2053737224096,1371.8260419210576,709.439238254897,1005.2714334694854
4,1884.6937019988372,1366.7443666141082,708.1575113013391,1004.1417179820223
5,1883.3449073938916,1361.0653523613387,705.4140965999062,999.4526667360815
6,1882.3070826887506,1357.0692176067143,702.8214689180257,993.6805161560256
7,1878.56357439424,1354.1617833297428,697.5708510033762,992.2511799402151
8,1879.668889379409,1351.8931522237265,697.3327271726387,989.0723224714618
9,1880.0639769595055,1350.5505829149188,695.5708163836103,986.2087135376308
10,1879.314104000849,1350.5738580882025,695.1760018959923,982.1980306249932
11,1881.4141746909406,1350.2236956502675,696.1675438648848,977.2877319486852
12,1882.66996586318,1349.5381803868665,696.335680680688,972.5036627995687
13,1885.392636646482,1349.3160260373966,693.5363953198809,968.1892753303808
14,1885.5257666940688,1347.5922975346275,695.2140749852445,962.2057781471096
15,1887.6026159195876,1344.9772100274267,694.577414860852,953.7389005553986
16,1889.9464589055926,1342.7592025382166,690.9025090903849,949.4081890997847
17,1890.0568514633524,1340.5390414782066,689.8192217405921,944.5619656058627
18,1891.4089519958245,1337.1941574724997,689.4051799950921,941.4906049946139
19,1892.4386592748554,1334.280235517671,688.7078167206431,935.0997394897096
20,1894.0298465724209,1331.5450147546385,686.9638846013304,927.8035050851138
21,1897.5511235431065,1329.6830154904028,685.3899630447504,920.5934344253056
22,1899.9991348696553,1326.6095514158833,682.9985072575232,915.0927759851493
23,1901.3181415043466,1323.9509711974445,679.8879036150124,910.9435492335249
24,1904.0799370494212,1321.4390063365774,677.3809741349157,907.5889690954797
25,1910.7380876105012,1317.6232872127753,674.9421033585767,901.7195652360488
26,1913.3038546342066,1315.3888201835878,669.8938147853387,898.3013228638789
27,1916.013307393349,1312.2729838555442,669.264621877401,893.7032982890393
28,1916.6269409507968,1308.9433036746634,666.3374032610021,887.5068352847045
29,1918.9836554453339,1306.559330448359,662.704851138613,883.1171206827165
30,1920.216171620488,1302.5676676231744,660.4412026192042,879.1479055172999
31,1923.1330131816474,1299.988343429192,656.1638071350606,875.3530654301607
32,1924.395512571092,1297.9517379267045,652.5015586470612,871.0937046319651
33,1927.3285048849027,1294.6316591467673,649.8404883329215,866.1525560587095
34,1931.256142461499,1292.4862451536578,646.2500664991768,863.5271838702564
35,1935.2557308373657,1293.92460133241,642.8572021216079,858.1314764451288
36,1940.1216751307713,1290.3530907829577,640.3305823807785,854.8037764570005
37,1942.4607683811184,1290.587712661661,637.418847519337,851.578208131872
38,1944.5453516678037,1288.5320457303715,633.5077795909523,849.4244543412791
39,1946.6820574878984,1286.5968483996105,631.993679802469,846.5211237036644
40,1950.1253476035151,1281.498393460242,629.0124678289484,844.8226818685388
41,1952.2812440918688,1279.1699492875343,625.9882948476595,839.1730393742268
42,1954.4482790650097,1276.859319702157,624.1365732032439,833.2863708511433
43,1954.45448531838,1274.4251752653367,623.3830248884843,829.2951193088379
44,1956.5638580892842,1272.7292235847717,620.757323840003,824.7820530458415
45,1959.259744191291,1269.623135663799,617.2886088920051,822.1389358065845
